store_id,uptime_last_hour(minutes),uptime_last_day(hours),uptime_last_week(hours),downtime_last_hour(minutes),downtime_last_day(hours),downtime_last_week(hours)
00017c6a-7a77-4a95-bb2d-40647868aff6,387,14.9813108075,59.23335540972222,118,3.9405578188888892,16.726326205555555
000bba84-20af-4a8b-b68a-368922cc6ad1,0,0.0,0.0,60,24.0,168.0
003222af-0b64-4f8c-b5c3-d2dc24636f02,0,0.0,0.0,60,11.25,78.75
00505ad5-7cf5-42f1-a7e4-252e42273e77,397,18.315637799722225,82.53988334972222,108,3.58956416,12.494468134166667
0059ffee-d90a-4355-afd3-b14e7030d2a5,401,19.43330932027778,90.03992412444445,74,2.4718926394444445,8.588051555833333
006006cb-7763-42bb-af62-0101f6bc2de1,387,16.49123319638889,72.76880178333333,148,4.93063543,17.19506210777778
0066c6a3-6a89-40a1-b11f-64526666c771,0,0.0,0.0,60,13.483333333333333,94.38333333333334
006c9910-9126-4bb9-b5d8-cd37bc14790b,0,0.0,0.0,60,24.0,168.0
007257d2-73df-4c35-8a67-859f988b63f0,370,17.407221820833332,75.93528749055555,136,4.514369027777778,18.72917149111111
007a6957-bf78-4062-9a01-b39641f0c126,364,15.715549305555555,67.6503849775,171,5.706319320833333,19.9232686125
009c0a31-4856-4f4b-a2a1-a53145db6f45,547,22.32613953638889,92.38114665888888,18,0.5954513122222221,2.243882
009e533c-bbc6-4a3f-afda-ae1f9ab5dc87,0,0.0,0.0,60,10.0,70.0
00bcec56-84f9-4a91-a3b8-c63ba60c69fe,341,18.605355614444445,91.08178431083333,14,0.31623523416666666,0.7503449744444445
00bfac82-9546-429a-b137-39797e9dbe6c,366,14.79251286,60.95658101694444,139,4.629355766388889,16.151269279166666
00d3080b-63b0-46c3-ad41-35ba3e84e922,375,19.596542315555553,93.67991707055556,10,0.3250485330555556,1.0815065305555556
00e3e0a6-a94a-4abe-8ab7-138e7215993a,381,19.760033776666667,94.30045438833332,4,0.14516818305555557,0.44739594083333334
00e70d3c-7c2a-4633-b779-797f36f77dda,383,15.3591265425,63.23685017388889,122,4.062742083888889,14.160429655555555
012c2916-6822-4202-9cc0-a9a20abe3ec4,0,0.0,0.0,60,12.5,89.5
0130723a-06f8-4377-9170-abe3b932eff8,0,0.0,0.0,60,11.25,78.75
013ba14b-3518-427a-8130-8379e9ab198c,0,0.0,0.0,60,11.5,80.5
0143bd74-2221-4765-9064-ce416f00ee6e,0,0.0,0.0,60,13.499722222222223,94.49805555555555
0157421c-0a63-4941-a409-37dfe713c8dd,207,15.002756818611111,78.38506430277778,328,7.902445141111111,20.033261505833334
0158621b-c033-47e1-98c0-14be931d7670,377,16.14371198583333,71.36909218111111,158,5.278156640555555,18.418343689166665
01611b02-d799-4a60-840a-38f16fdaf84b,463,17.493768179722224,71.20499961,13,0.42810044666666663,1.499334522222222
0164431d-ed09-425d-b9fc-0527ea355c6b,378,15.173838318055557,41.74464071111111,128,4.248030308333333,35.56640892555556
0165ef34-3a7d-4e1f-870d-20a63d8fbcb3,544,21.195663730833335,86.9814185838889,52,1.7262048955555556,6.050347345555556
01b0e90e-4bbb-4bad-a0d0-fa9f4eae8c82,0,0.0,0.0,60,17.0,119.49916666666667
01b363c7-9360-413f-9d81-560519758d27,0,0.0,0.0,60,24.0,168.0
01bba31b-d858-4fc2-9768-47b9bc394441,0,0.0,0.0,60,12.5,117.5
01c792cd-2acb-4dd2-89b3-9f58ee057494,369,16.8760625025,75.29855881916666,167,5.545806123888888,19.357972043611113
